BUYER_ID,frequency,recency,profit
21306,1,576,1
21307,1,576,5
21308,1,576,3
21309,1,576,3
21310,1,576,4
21311,4,374,9
21312,1,576,1
21315,1,576,15
21316,9,533,18
21317,1,505,2
21319,2,319,6
21320,2,576,8
21323,2,513,12
21324,1,576,2
21326,1,576,2
21327,1,576,3
21328,3,575,16
21329,6,534,17
21333,3,575,15
21334,1,576,3
21335,2,575,2
21336,2,575,8
21337,1,576,1
21339,1,576,4
21340,1,576,1
21341,6,576,8
21342,2,575,6
21343,1,576,5
21344,1,575,7
21345,1,576,6
21346,1,576,5
21347,1,576,5
21348,7,575,37
21349,1,576,3
21350,1,576,3
21351,1,575,5
21353,1,576,6
21357,2,404,11
21358,1,576,4
21359,2,576,4
21360,2,576,8
21361,1,576,6
21366,1,576,4
21370,1,576,3
21371,1,576,8
21372,1,576,3
21373,1,576,4
21374,1,576,4
21375,3,566,14
21377,1,576,7
21378,1,569,5
21379,1,576,6
21381,3,526,9
21382,1,575,8
21384,1,575,4
21385,1,575,1
21386,1,575,8
21389,1,575,4
21390,8,534,15
21391,1,575,3
21392,2,517,9
21393,1,575,1
21394,1,575,1
21395,1,575,4
21396,1,575,5
21397,1,575,3
21398,1,575,4
21401,1,575,1
21403,2,569,6
21404,1,575,7
21407,2,575,2
21408,5,109,23
21409,1,575,5
21410,1,575,2
21412,1,575,8
21413,3,384,12
21414,2,574,7
21415,2,575,12
21416,3,575,18
21417,2,569,6
21418,1,574,6
21419,1,575,8
21420,4,327,6
21421,1,575,7
21423,2,575,12
21424,1,575,17
21427,1,575,5
21428,4,574,6
21429,2,538,6
21430,1,575,9
21434,2,575,8
21435,2,575,4
21437,2,575,8
21440,1,575,6
21441,1,575,1
21442,1,575,2
21443,4,545,9
21444,1,575,5
21445,1,575,4
21448,1,575,3
21449,1,575,2
21452,1,575,3
21453,1,575,2
21454,1,575,3
21455,1,575,3
21456,2,509,4
21457,1,575,1
21458,4,509,39
21460,1,575,1
21461,1,575,2
21463,1,575,5
